Bought Condition,Colour,Current Condition,Drivetrain,Engine Size,Horse Power,Make,Mileage,Model,Number of Cylinders,Registered city,Seats,Selling Condition,Trim,Year of manufacture,detail_url,State,City,name,price
Imported,Purple,Local Used,All Wheel,3500,268,Mercedes-Benz,125114,E350,6,Lagos,7,Registered,Base 4Matic Wagon AWD (3.5L 6cyl 7A),2011,/jEY4wdZ9L5ZmOnfex2YohupbLUOvmyA?lid=Weu3BX5t0zwyv9CR,Lagos State, Magodo,Mercedes-Benz E350 Base 4Matic Wagon AWD (3.5L 6cyl 7A) 2011 Purple,"8,925,000"
Imported,Black,Local Used,All Wheel,5500,518,Mercedes-Benz,102757,M Class,8,,5,Registered,ML63 AMG 4dr SUV AWD (5.5L 8cyl Turbo 7A),2014,/jEY4wdZXJhkeMfVaa3M4QdTPivkgIX7?lid=Weu3BX5t0zwyv9CR,Lagos State, Lekki,Mercedes-Benz M Class ML63 AMG 4dr SUV AWD (5.5L 8cyl Turbo 7A) 2014,"16,548,000"
Imported,Gray,Foreign Used,Front Wheel,1800,,Toyota,361341,Prius,4,,,Imported,4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT),2016,/jEY4wdZWLhtq8w3tgs4SuK3kaWvRfmr?lid=Weu3BX5t0zwyv9CR,Abuja (FCT), Wuse,Toyota Prius 4dr Hatchback (1.8L 4cyl gas/electric hybrid CVT) 2016,"15,750,000"
Imported,Black,Local Used,All Wheel,3700,300,Acura,123652,MDX,6,Lagos,7,Registered,Technology Package AWD (3.7L 6cyl 5A),2009,/jEY4wdZMAOMS77kll3tS1cGwVz7FNEO?lid=Weu3BX5t0zwyv9CR,Lagos State, Lekki,Acura MDX Technology Package AWD (3.7L 6cyl 5A) 2009 Black,"5,880,000"
Imported,Black,Local Used,,2000,,Mercedes-Benz,49628,E300,,Lagos,,Registered,,2018,/jEY4wdZSx0fJRTLM6CdznJnX1K4NQrZ?lid=Weu3BX5t0zwyv9CR,Lagos State, Lekki,Mercedes-Benz E300 2018 Black,"24,360,000"
Imported,Black,Local Used,Front Wheel,2400,185,Honda,76953,Accord,4,,5,Registered,LX 4dr Sedan FWD (2.4L 4cyl 2A),2013,/jEY4wdZIAVN06KuiMZmQBZEHu9d9yZI?lid=Weu3BX5t0zwyv9CR,Lagos State, Lekki,Honda Accord LX 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Black,"8,400,000"
Imported,Gold,Local Used,,3000,,Toyota,118454,Highlander,,,,Registered,,2002,/jEY4wdZj6jrW0Tok5KwSeMGxaSrfurv?lid=Weu3BX5t0zwyv9CR,Lagos State, Kosofe,Toyota Highlander 2002 Gold,"4,452,000"
Registered,Silver,Local Used,,3300,,Lexus,178445,RX 330,,Lagos,,Registered,,2004,/jEY4wdZFaNpsNlCnvW7qmEdCG7z4mIq?lid=Weu3BX5t0zwyv9CR,Lagos State, Abule Egba,Lexus RX 330 2004 Silver,"6,825,000"
Imported,White,Local Used,,2500,,Toyota,253849,Camry,,Lagos,,Registered,,2012,/jEY4wdZfRjV30SoJflRXCxwM4MVqc0Q?lid=Weu3BX5t0zwyv9CR,Ondo State, Akure,Toyota Camry 2012 White,"6,300,000"
Imported,Black,Local Used,Front Wheel,3500,273,Toyota,103483,Venza,6,Lagos,5,Registered,V6,2011,/jEY4wdZfeDKh6zDp7be8EwpHFalZ0yB?lid=Weu3BX5t0zwyv9CR,Lagos State, Lekki,Toyota Venza V6 2011 Black,"11,602,500"
Registered,Silver,Local Used,,2500,,Hyundai,120343,Sonata,,Lagos,,Registered,,2011,/jEY4wdZgXxuGhqnUauUuHmatje1DO8l?lid=Weu3BX5t0zwyv9CR,Lagos State, Ilupeju,Hyundai Sonata 2011 Silver,"5,586,000"
Brand new,Black,Local Used,,3500,,Toyota,182405,Highlander,,,,Registered,,2013,/jEY4wdZuEUPEWdRVMzJJ4kJ5rrDaVEH?lid=Weu3BX5t0zwyv9CR,Lagos State, Ikoyi,Toyota Highlander 2013 Black,"9,450,000"
Brand new,Black,Local Used,,2700,,Toyota,195092,Fortuner,,,,Registered,,2010,/jEY4wdZJnMS2G3mKYoqEpILl2dzMKBj?lid=Weu3BX5t0zwyv9CR,Lagos State, Ikoyi,Toyota Fortuner 2010 Black,"15,750,000"
Imported,Gray,Local Used,,2000,,Lexus,310039,NX,,Lagos,,Registered,,2016,/jEY4wdZwNdh6SGA6XSxAafYMUqK2NF8?lid=Weu3BX5t0zwyv9CR,Lagos State, Ajah,Lexus NX 2016 Gray,"21,630,000"
Registered,White,Local Used,,3500,,Honda,204374,Accord,,Abuja,,Registered,,2009,/jEY4wdZLQ3kJYalUVYlq6MpLmd00A3y?lid=Weu3BX5t0zwyv9CR,Lagos State, Ojodu,Honda Accord 2009 White,"4,515,000"
Imported,White,Local Used,,2000,,Mercedes-Benz,15231,CLA-Class,,Lagos,,Registered,,2014,/jEY4wdZy6c0M7jKbgOiY8NlFUwUBcKk?lid=1HBmlP1aPpxg-2kh,Lagos State, Ikorodu,Mercedes-Benz CLA-Class 2014 White,"10,500,000"
Imported,Blue,Local Used,,2500,,Toyota,194842,Camry,,,,Registered,,2012,/jEY4we00XAIOT0jWS0a5NvS2yzLsU11?lid=1HBmlP1aPpxg-2kh,Lagos State, Lekki,Toyota Camry 2012 Blue,"8,946,000"
Registered,Red,Local Used,,3500,,Lexus,217915,GS,,Lagos,,Registered,,2008,/jEY4wdZr6vLflT9CWUgC3Fj2Nf16KCu?lid=1HBmlP1aPpxg-2kh,Lagos State, Amuwo-Odofin,Lexus GS 2008 Red,"6,760,000"
Imported,Silver,Local Used,,2000,,Volkswagen,235930,Jetta,,,,Registered,,2007,/jEY4wdZMs3gTcOCO7Ur5wVGKt6cMU1G?lid=1HBmlP1aPpxg-2kh,Lagos State, Isolo,Volkswagen Jetta 2007 Silver,"3,780,000"
Imported,White,Foreign Used,Front Wheel,2700,273,Toyota,246461,Venza,6,,5,Imported,V6,2010,/jEY4wdZg7E4gybyaV6XMKLs7A7nCdi9?lid=1HBmlP1aPpxg-2kh,Lagos State, Lekki,Toyota Venza V6 2010 White,"12,600,000"
Imported,White,Local Used,,3500,,Mercedes-Benz,118167,C300,,,,Registered,,2016,/jEY4wdZCidgJ37xb1l04h0hsXhdhJVx?lid=1HBmlP1aPpxg-2kh,Abuja (FCT), Wuse,Mercedes-Benz C300 2016 White,"13,650,000"
Imported,Green,Local Used,,1800,,Toyota,92806,Corolla,,,,Registered,,2009,/jEY4wdZv9oUa0MCYuSUQsvITc9Olz3Z?lid=1HBmlP1aPpxg-2kh,Lagos State, Ikorodu,Toyota Corolla 2009 Green,"6,825,000"
Imported,Black,Local Used,,3300,,Nissan,225293,Frontier,,,,Registered,,2004,/jEY4wdZAawSD2BPmu4PUSj8Vxn2jpVa?lid=1HBmlP1aPpxg-2kh,Lagos State, Lekki,Nissan Frontier 2004 Black,"3,675,000"
Imported,Black,Local Used,,3500,,Toyota,127989,Avalon,,,,Registered,,2005,/jEY4wdZwGMFwnUx3zxRfo6tDV9sJrF5?lid=1HBmlP1aPpxg-2kh,Lagos State, Kosofe,Toyota Avalon 2005 Black,"3,780,000"
Imported,Red,Foreign Used,,3000,,Mercedes-Benz,137003,E400,,,,Imported,,2018,/jEY4wdZqGr0VOqLJO3ffDAEYZ32tleI?lid=1HBmlP1aPpxg-2kh,Lagos State, Lekki,Mercedes-Benz E400 2018 Red,"52,211,250"
Imported,Gold,Local Used,,2400,,Honda,138717,Accord,,Lagos,,Registered,,2013,/jEY4wdZXwgqMX63VVOvqP3MLDSwkrpu?lid=1HBmlP1aPpxg-2kh,Lagos State, Ajah,Honda Accord 2013 Gold,"7,455,000"
Imported,Gray,Local Used,,2400,,Toyota,157081,Camry,,Lagos,,Registered,,2004,/jEY4wdZhhdrKVu9SNQen1mCbEfW81CX?lid=1HBmlP1aPpxg-2kh,Lagos State, Alimosho,Toyota Camry 2004 Gray,"4,410,000"
Imported,Silver,Local Used,,2500,,Toyota,107666,RAV4,,Ogun,,Registered,,2014,/jEY4wdZN1It8jBs4hrq54mZxbBtYASe?lid=1HBmlP1aPpxg-2kh,Ogun State, Abeokuta North,Toyota RAV4 2014 Silver,"12,600,000"
Registered,Black,Local Used,,2400,,Chevrolet,142673,Equinox,,Kaduna,,Registered,,2010,/jEY4wdZLWzQJIQ2crXbtJmCod1roh8p?lid=1HBmlP1aPpxg-2kh,Kaduna State, Kachia,Chevrolet Equinox 2010 Black,"5,775,000"
Imported,White,Foreign Used,,2000,,Mercedes-Benz,64325,CLA-Class,,,,Imported,,2021,/jEY4wdZVVoFf5Lfoui0XpARF36N1SQl?lid=1HBmlP1aPpxg-2kh,Abuja (FCT), Jabi,Mercedes-Benz CLA-Class 2021 White,"47,250,000"
Registered,Silver,Local Used,,3300,,Toyota,383890,Highlander Hybrid,,Lagos,,Registered,,2006,/jEY4wdZTJOLUlXsVXOKuiwDgTNXz0ag?lid=kypCYA_datBePLGs,Lagos State, Alimosho,Toyota Highlander Hybrid 2006 Silver,"7,140,000"
